popularity,release_date,release_year,title,vote_average,vote_count
2.967943,2015-02-07,2015-02-07,Diary of a Chambermaid,5.2,41.0
1.211958,2015-01-20,2015-01-20,Volcano,6.6,16.0
2.633612,2015-01-20,2015-01-20,Body,6.3,12.0
2.486485,2015-11-27,2015-11-27,Endless Night,5.6,21.0
0.696905,2015-02-10,2015-02-10,As We Were Dreaming,7.2,19.0
8.247275,2015-06-11,2015-06-11,Victoria,7.9,388.0
0.653838,2015-02-10,2015-02-10,Petting Zoo,7.0,5.0
8.504655,2015-03-13,2015-03-13,Home Sweet Hell,5.0,187.0
0.143037,2015-01-23,2015-01-23,Adult Camp,6.0,1.0
1.038659,2015-02-07,2015-02-07,Bizarre,6.2,11.0
13.492684,2015-10-13,2015-10-13,Crimson Peak,6.4,1494.0
11.633592,2015-02-24,2015-02-24,Dragonheart 3: The Sorcerer's Curse,4.5,82.0
6.575393,2015-02-20,2015-02-20,Hot Tub Time Machine 2,5.0,360.0
1.76713,2015-02-27,2015-02-27,The Man in the Orange Jacket,5.3,7.0
0.214465,2015-02-16,2015-02-16,The Coven,2.0,1.0
5.885213,2015-03-05,2015-03-05,Superfast!,4.5,94.0
3.447972,2015-05-08,2015-05-08,Han Gong-ju,7.3,25.0
10.035362,2015-02-25,2015-02-25,Focus,6.7,2588.0
5.723103,2015-04-02,2015-04-02,Every Thing Will Be Fine,5.3,79.0
12.334689,2015-02-05,2015-02-05,The SpongeBob Movie: Sponge Out of Water,5.7,733.0
9.234943,2015-02-12,2015-02-12,Demonic,5.0,153.0
5.204474,2015-02-26,2015-02-26,The Second Best Exotic Marigold Hotel,6.3,277.0
9.056173,2015-01-15,2015-01-15,Tracers,5.9,437.0
6.894606,2015-02-20,2015-02-20,"McFarland, USA",7.4,216.0
6.542647,2015-02-19,2015-02-19,Wolf Totem,6.4,137.0
5.840554,2015-01-29,2015-01-29,The Lazarus Effect,5.1,517.0
10.24952,2015-03-05,2015-03-05,Unfinished Business,5.0,322.0
6.856419,2015-01-16,2015-01-16,Spare Parts,6.6,65.0
0.141087,2015-03-15,2015-03-15,Bikes vs Cars,7.7,3.0
4.020885,2015-02-10,2015-02-10,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,6.4,27.0
11.783784,2015-03-13,2015-03-13,To Write Love on Her Arms,6.8,48.0
16.838145,2015-03-11,2015-03-11,Run All Night,6.3,1169.0
2.404878,2015-10-23,2015-10-23,Asthma,6.5,26.0
1.781163,2015-03-09,2015-03-09,Assassin,3.8,13.0
3.940514,2015-02-20,2015-02-20,Digging Up the Marrow,5.6,62.0
0.14908,2015-01-01,2015-01-01,Kingdom of Shadows,7.0,1.0
1.906036,2015-03-06,2015-03-06,Road Hard,6.6,8.0
19.801128,2015-03-12,2015-03-12,Cinderella,6.7,2426.0
9.509334,2015-03-09,2015-03-09,Frozen Fever,6.9,630.0
10.588578,2015-03-12,2015-03-12,Kidnapping Mr. Heineken,5.8,193.0
0.690123,2015-02-25,2015-02-25,Crazy Beautiful You,7.0,2.0
0.059585,2015-03-07,2015-03-07,That Gal...Who Was in That Thing: That Guy 2,7.0,1.0
0.175255,2015-02-08,2015-02-08,Dyke Hard,4.5,2.0
0.021594,2015-03-27,2015-03-27,Other Girls,0.0,0.0
1.079777,2015-03-08,2015-03-08,India's Daughter,8.3,13.0
15.968492,2015-05-20,2015-05-20,Poltergeist,5.0,924.0
11.30428,2015-09-24,2015-09-24,Pan,5.9,979.0
9.42755,2015-04-03,2015-04-03,While We're Young,5.8,387.0
5.345593,2015-08-14,2015-08-14,The Boy,5.7,58.0
0.255966,2015-01-28,2015-01-28,Nice People,9.0,2.0
3.695288,2015-02-18,2015-02-18,The Circle,5.5,34.0
27.887186,2015-03-18,2015-03-18,Insurgent,6.2,3921.0
2.721314,2015-02-27,2015-02-27,Dum Laga Ke Haisha,7.1,28.0
13.422713,2015-03-18,2015-03-18,Home,6.8,1539.0
12.682927,2016-02-18,2016-02-18,Midnight Special,6.2,705.0
11.429831,2015-02-16,2015-02-16,The Gunman,5.5,397.0
2.822923,2015-01-23,2015-01-23,Baby,6.4,49.0
27.275687,2015-04-01,2015-04-01,Furious 7,7.3,4253.0
10.07817,2015-04-17,2015-04-17,Unfriended,5.5,1092.0
8.101355,2015-03-20,2015-03-20,Backcountry,5.8,159.0
1.649865,2015-03-15,2015-03-15,Muck,3.5,35.0
8.100029,2015-06-05,2015-06-05,We Are Still Here,5.6,191.0
6.679341,2015-10-09,2015-10-09,The Final Girls,6.6,371.0
5.04399,2015-02-24,2015-02-24,Power Rangers,7.2,123.0
17.608346,2015-03-15,2015-03-15,Child 44,6.1,565.0
8.178015,2015-03-26,2015-03-26,Get Hard,5.9,961.0
1.980386,2015-03-06,2015-03-06,Aziz Ansari: Live at Madison Square Garden,7.0,47.0
3.139941,2015-02-24,2015-02-24,The Intruders,4.7,46.0
0.960229,2015-04-02,2015-04-02,Mara and the Firebringer,5.5,13.0
4.081263,2015-03-01,2015-03-01,Parallels,6.2,148.0
9.559969,2015-03-27,2015-03-27,Dead Rising: Watchtower,5.0,143.0
11.616811,2015-04-10,2015-04-10,Kill Me Three Times,5.5,171.0
1.950065,2015-03-13,2015-03-13,Walter,5.3,26.0
4.551561,2015-01-20,2015-01-20,The Atticus Institute,5.6,143.0
0.606691,2015-03-20,2015-03-20,Lily & Kat,4.4,6.0
9.961184,2015-02-05,2015-02-05,Shaun the Sheep Movie,6.9,456.0
14.619519,2015-04-03,2015-04-03,Last Knights,6.2,348.0
5.403881,2015-02-08,2015-02-08,The Jinx: The Life and Deaths of Robert Durst,8.6,85.0
5.48942,2015-04-14,2015-04-14,Batman vs. Robin,6.8,218.0
11.61,2015-04-10,2015-04-10,Woman in Gold,7.3,454.0
0.965884,2015-01-23,2015-01-23,Iliza Shlesinger: Freezing Hot,6.9,18.0
1.758075,2015-04-05,2015-04-05,Killing Jesus,4.0,4.0
22.296076,2015-05-19,2015-05-19,Tomorrowland,6.2,2904.0
0.145548,2015-03-20,2015-03-20,Armi Alive!,4.7,3.0
8.35399,2015-04-09,2015-04-09,Good Kill,5.9,210.0
2.278837,2015-04-17,2015-04-17,Alex of Venice,5.9,25.0
4.543452,2015-01-15,2015-01-15,Hungry Hearts,6.6,50.0
3.293362,2015-03-27,2015-03-27,The Barber,5.9,41.0
0.020195,2015-01-31,2015-01-31,PMMP – Life is Right Here,0.0,0.0
1.395727,2015-03-06,2015-03-06,Buzzard,5.8,18.0
17.02038,2015-04-16,2015-04-16,Paul Blart: Mall Cop 2,5.0,576.0
4.741389,2015-04-11,2015-04-11,The Reconstruction of William Zero,5.1,21.0
0.112852,2015-01-24,2015-01-24,"It's Me, Hilary: The Man Who Drew Eloise",6.0,2.0
1.159873,2015-08-06,2015-08-06,About a Girl,7.3,12.0
1.306922,2015-03-13,2015-03-13,NH10,6.7,26.0
3.633327,2015-04-10,2015-04-10,The Marine 4: Moving Target,5.8,49.0
10.264416,2015-04-09,2015-04-09,The Longest Ride,7.3,1083.0
0.883092,2015-03-27,2015-03-27,Man from Reno,6.1,15.0
0.119505,2015-03-26,2015-03-26,Einstein,7.5,2.0
3.367592,2015-04-17,2015-04-17,Monkey Kingdom,6.4,48.0
0.649984,2015-03-28,2015-03-28,Beck 30 - Sjukhusmorden,4.7,3.0
10.542026,2015-04-16,2015-04-16,The Age of Adaline,7.4,2052.0
0.475216,2015-04-03,2015-04-03,Lambert & Stamp,7.8,4.0
0.669469,2015-04-05,2015-04-05,Sinatra: All or Nothing at All,7.1,14.0
16.903373,2015-03-19,2015-03-19,Danny Collins,6.6,187.0
0.892602,2016-02-12,2016-02-12,Bad Hurt,5.4,9.0
3.766743,2015-03-27,2015-03-27,A Girl Like Her,7.2,82.0
4.565414,2015-06-04,2015-06-04,Grandma,6.1,143.0
2.531139,2015-03-30,2015-03-30,Comedy Central Roast of Justin Bieber,7.0,52.0
4.060966,2015-05-14,2015-05-14,A Royal Night Out,6.3,84.0
5.979181,2015-03-27,2015-03-27,Dior and I,7.3,50.0
1.76195,2015-03-20,2015-03-20,The Walking Deceased,4.2,35.0
1.662556,2015-03-10,2015-03-10,An Act of War,5.1,6.0
8.059946,2015-05-12,2015-05-12,Batman Unlimited: Animal Instincts,5.5,54.0
1.070554,2016-04-08,2016-04-08,One More Time,5.9,16.0
11.879205,2015-05-29,2015-05-29,Man Up,6.5,395.0
1.639984,2015-03-15,2015-03-15,The Culling,4.0,20.0
2.421888,2015-05-08,2015-05-08,Sweet Home,4.7,34.0
20.547925,2015-05-27,2015-05-27,San Andreas,6.0,3017.0
10.03628,2015-10-01,2015-10-01,Regression,5.3,600.0
3.98978,2015-03-10,2015-03-10,The Man with the Iron Fists 2,4.6,63.0
7.832484,2015-04-23,2015-04-23,Far from the Madding Crowd,6.8,346.0
2.270286,2015-03-14,2015-03-14,Appropriate Behavior,5.8,28.0
11.796151,2015-01-29,2015-01-29,Barbie in Princess Power,5.5,25.0
10.721799,2015-08-20,2015-08-20,Hitman: Agent 47,5.5,1183.0
1.078148,2015-03-19,2015-03-19,B/W,5.2,6.0
0.725267,2015-03-26,2015-03-26,Court,6.6,10.0
16.778946,2015-07-10,2015-07-10,Ricki and the Flash,5.6,273.0
0.241235,2015-01-01,2015-01-01,Resistance,7.2,5.0
0.954477,2015-04-17,2015-04-17,1915,6.0,1.0
3.785532,2015-01-20,2015-01-20,The Eichmann Show,6.3,61.0
3.239485,2015-01-25,2015-01-25,Partisan,6.2,39.0
12.592801,2015-05-08,2015-05-08,Infini,5.1,157.0
2.942711,2015-05-08,2015-05-08,Piku,6.8,44.0
2.030937,2015-02-21,2015-02-21,Babysitter's Black Book,5.9,31.0
1.808086,2015-01-24,2015-01-24,German Angst,5.9,11.0
1.1503,2015-02-25,2015-02-25,Reunion,6.9,8.0
15.862632,2015-05-07,2015-05-07,Pitch Perfect 2,6.8,1997.0
0.279202,2015-04-23,2015-04-23,El bosque de Karadima,6.4,5.0
2.129215,2015-05-16,2015-05-16,Bessie,6.1,33.0
7.930328,2015-05-29,2015-05-29,Nightingale,6.1,18.0
8.364201,2015-11-20,2015-11-20,Carol,7.3,1014.0
0.516172,2015-05-11,2015-05-11,Thought Crimes,6.6,14.0
2.485569,2015-01-02,2015-01-02,Roald Dahl's Esio Trot,7.0,42.0
5.135262,2015-05-07,2015-05-07,Pound of Flesh,5.4,64.0
5.975657,2015-07-01,2015-07-01,Strangerland,5.1,90.0
1.650458,2015-05-19,2015-05-19,Teacher of the Year,5.7,20.0
1.690373,2015-01-25,2015-01-25,Away and Back,5.4,18.0
11.223033,2015-10-08,2015-10-08,The Lobster,6.7,1340.0
2.873763,2015-01-31,2015-01-31,Beautiful & Twisted,5.6,32.0
2.159836,2015-03-20,2015-03-20,Güeros,7.7,36.0
12.020933,2015-05-08,2015-05-08,Maggie,5.2,604.0
6.90658,2015-05-08,2015-05-08,Hot Pursuit,5.4,659.0
10.132064,2015-04-16,2015-04-16,Slow West,6.6,371.0
5.360948,2015-05-22,2015-05-22,The Human Centipede 3 (Final Sequence),3.7,159.0
0.092631,2015-04-21,2015-04-21,Just About Famous,6.0,2.0
0.277736,2015-02-27,2015-02-27,Deli Man,6.9,6.0
0.383368,2015-05-18,2015-05-18,Southern Rites,7.0,2.0
11.009871,2015-04-30,2015-04-30,Barely Lethal,5.5,352.0
10.199449,2015-04-11,2015-04-11,Spooks: The Greater Good,5.9,203.0
1.731591,2015-03-13,2015-03-13,The Fencer,7.3,16.0
4.615203,2015-03-15,2015-03-15,Deep Web,6.8,85.0
1.54267,2015-02-10,2015-02-10,The Dramatics: A Comedy,5.3,6.0
0.983058,2015-04-30,2015-04-30,You Are My Sunshine,9.0,2.0
0.932758,2015-03-13,2015-03-13,Seymour: An Introduction,6.4,9.0
4.260681,2015-05-19,2015-05-19,San Andreas Quake,3.5,77.0
25.62993,2015-09-30,2015-09-30,The Martian,7.6,7442.0
5.814583,2015-05-31,2015-05-31,Return to Sender,5.0,140.0
7.741143,2015-05-22,2015-05-22,Kung Fury,7.6,762.0
1.478116,2015-04-03,2015-04-03,Detective Byomkesh Bakshy!,6.4,21.0
1.493061,2015-02-20,2015-02-20,Badlapur,6.8,30.0
8.717661,2015-05-20,2015-05-20,Youth,6.7,625.0
15.033568,2015-05-21,2015-05-21,Survivor,5.4,407.0
5.352415,2015-05-29,2015-05-29,Hot Girls Wanted,5.9,198.0
0.929781,2015-02-15,2015-02-15,A Gift of Miracles,5.9,15.0
0.674552,2015-05-18,2015-05-18,Curse of the Witching Tree,4.6,16.0
13.257467,2015-05-06,2015-05-06,Spy,6.9,2590.0
17.310647,2015-07-17,2015-07-17,Trainwreck,5.9,1193.0
4.369253,2015-03-11,2015-03-11,Ma che bella sorpresa,5.9,105.0
8.451297,2015-05-27,2015-05-27,Aloha,5.2,704.0
6.592284,2015-01-24,2015-01-24,With This Ring,5.5,23.0
0.819352,2015-01-23,2015-01-23,Misery Loves Comedy,6.5,12.0
0.537919,2015-06-02,2015-06-02,Flight World War II,4.9,7.0
4.440102,2015-04-15,2015-04-15,Taxi,6.8,107.0
5.462048,2015-02-19,2015-02-19,Dragon Blade,5.9,146.0
14.013413,2015-06-03,2015-06-03,Entourage,6.2,502.0
2.58432,2015-06-12,2015-06-12,London Road,6.5,13.0
1.464736,2015-01-24,2015-01-24,Bitter Lake,8.0,30.0
0.27894,2015-05-14,2015-05-14,Ventoux,5.8,4.0
1.771705,2015-06-06,2015-06-06,No Way Jose,4.8,8.0
23.985587,2015-06-09,2015-06-09,Inside Out,7.9,6737.0
2.20851,2015-01-09,2015-01-09,The World Made Straight,5.5,19.0
5.416273,2015-06-12,2015-06-12,The Wolfpack,6.7,116.0
2.620891,2015-04-10,2015-04-10,The Sisterhood of Night,6.5,32.0
3.539209,2015-06-09,2015-06-09,Soaked in Bleach,7.0,86.0
10.444048,2015-05-29,2015-05-29,Love & Mercy,7.3,246.0
26.628178,2015-11-18,2015-11-18,The Hunger Games: Mockingjay - Part 2,6.6,4117.0
7.987747,2015-06-26,2015-06-26,Max,6.8,282.0
21.14796,2015-07-16,2015-07-16,Pixels,5.6,2564.0
18.386172,2016-03-09,2016-03-09,Allegiant,5.9,2064.0
41.051421,2016-11-16,2016-11-16,Fantastic Beasts and Where to Find Them,7.2,5612.0
2.178546,2018-11-07,2018-11-07,Bad Boys for Life,0.0,12.0
1.309117,2015-03-13,2015-03-13,Dawg Fight,6.3,20.0
1.32701,2015-05-22,2015-05-22,Chocolate City,5.5,11.0
0.489781,2015-06-12,2015-06-12,Hamari Adhuri Kahani,6.0,12.0
0.117331,2015-01-28,2015-01-28,The Sky Above Us,0.0,0.0
19.256859,2015-06-19,2015-06-19,Mr. Holmes,6.5,686.0
11.01395,2016-06-18,2016-06-18,The Secret Life of Pets,5.9,3536.0
1.413782,2015-02-10,2015-02-10,Frankenstein vs. The Mummy,3.9,8.0
0.124922,2015-01-07,2015-01-07,Senior Project,0.0,0.0
1.026667,2015-04-24,2015-04-24,The Emperor's New Clothes,6.2,12.0
1.071588,2015-06-05,2015-06-05,Kaaka Muttai,8.2,12.0
1.812728,2015-05-01,2015-05-01,Gabbar Is Back,7.0,33.0
11.946728,2015-04-23,2015-04-23,Little Boy,7.0,190.0
3.722756,2015-03-20,2015-03-20,Do You Believe?,6.7,49.0
2.065217,2015-06-20,2015-06-20,A Deadly Adoption,4.7,38.0
25.301568,2015-07-10,2015-07-10,Self/less,6.3,1122.0
1.138419,2017-12-30,2017-12-30,The King's Daughter,0.0,4.0
10.038581,2016-04-14,2016-04-14,Criminal,5.8,566.0
13.412445,2015-10-21,2015-10-21,The Last Witch Hunter,5.7,1345.0
15.553313,2015-11-26,2015-11-26,Krampus,5.9,601.0
42.965027,2016-08-02,2016-08-02,Suicide Squad,5.9,7717.0
0.453891,2016-06-10,2016-06-10,Aurora,4.5,3.0
16.993841,2016-06-22,2016-06-22,Independence Day: Resurgence,4.9,2550.0
20.659284,2016-07-07,2016-07-07,Star Trek Beyond,6.6,2636.0
6.082415,2015-04-14,2015-04-14,Final Girl,5.0,205.0
13.288704,2016-09-09,2016-09-09,The Disappointments Room,4.3,144.0
0.528489,2015-05-22,2015-05-22,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),6.8,13.0
0.752735,2015-06-23,2015-06-23,Grace Stirs Up Success,6.0,4.0
1.420161,2015-08-23,2015-08-23,The Mirror,3.5,17.0
42.061481,2015-06-25,2015-06-25,Ted 2,6.2,2524.0
14.998954,2015-06-26,2015-06-26,Absolutely Anything,5.7,410.0
547.488298,2015-06-17,2015-06-17,Minions,6.4,4729.0
12.319595,2015-11-14,2015-11-14,The Good Dinosaur,6.6,1782.0
10.61072,2015-09-04,2015-09-04,Black Mass,6.3,1262.0
24.926577,2015-10-26,2015-10-26,Spectre,6.3,4552.0
5.458754,2015-02-08,2015-02-08,The Second Mother,7.8,169.0
10.277117,2015-03-17,2015-03-17,Avengers Grimm,4.0,40.0
4.354938,2015-07-22,2015-07-22,Sharknado 3: Oh Hell No!,4.4,137.0
10.907809,2015-01-09,2015-01-09,The Scorpion King: Quest for Power,4.5,41.0
1.437302,2015-02-17,2015-02-17,Scooby-Doo! Moon Monster Madness,6.4,11.0
2.590491,2015-03-17,2015-03-17,The Flintstones & WWE: Stone Age Smackdown,5.8,15.0
1.320364,2015-03-19,2015-03-19,Little Big Master,7.6,10.0
0.712917,2015-06-23,2015-06-23,The Amityville Playhouse,3.1,10.0
16.224866,2015-10-09,2015-10-09,Steve Jobs,6.8,1608.0
12.493466,2015-08-16,2015-08-16,Macbeth,6.4,497.0
11.33038,2015-07-28,2015-07-28,Vacation,6.1,1218.0
1.642247,2015-01-13,2015-01-13,The Ouija Experiment 2: Theatre of Death,3.0,25.0
0.98268,2015-06-09,2015-06-09,Back to the Jurassic,6.6,4.0
6.885614,2015-06-04,2015-06-04,Madame Bovary,5.3,85.0
1.75416,2015-01-09,2015-01-09,Bound,3.4,31.0
1.366876,2015-06-19,2015-06-19,Phantom Halo,5.2,18.0
4.69699,2015-06-03,2015-06-03,Manglehorn,5.2,68.0
0.69891,2015-06-05,2015-06-05,Larry Gaye: Renegade Male Flight Attendant,5.1,15.0
1.259813,2015-01-31,2015-01-31,Hoovey,5.9,10.0
3.940336,2015-06-05,2015-06-05,Wild Horses,4.2,30.0
1.862426,2017-03-10,2017-03-10,Extinction: Nature Has Evolved,0.0,10.0
1.357121,2015-05-26,2015-05-26,Tooken,4.5,14.0
7.795204,2015-05-18,2015-05-18,Battle For SkyArk,3.5,27.0
4.257785,2015-02-27,2015-02-27,After the Ball,6.2,56.0
1.692988,2015-05-01,2015-05-01,Private Number,3.4,19.0
2.4129,2015-04-24,2015-04-24,Helicopter Mom,5.5,8.0
2.506371,2015-04-24,2015-04-24,See You In Valhalla,5.5,33.0
3.476891,2015-05-04,2015-05-04,Absolution,4.7,34.0
0.357815,2015-07-13,2015-07-13,The Four Warriors,3.0,1.0
1.964488,2015-01-01,2015-01-01,Dial a Prayer,5.6,15.0
1.225925,2015-04-07,2015-04-07,The Last Time You Had Fun,5.1,9.0
0.547615,2015-07-01,2015-07-01,Faith of Our Fathers,8.7,3.0
2.045686,2015-03-13,2015-03-13,Champs,6.6,15.0
1.098982,2015-05-08,2015-05-08,Fishing Naked,4.4,5.0
0.816541,2015-04-17,2015-04-17,The Squeeze,4.8,6.0
0.482626,2015-04-17,2015-04-17,Fractured,4.0,2.0
6.88876,2015-05-06,2015-05-06,Careful What You Wish For,5.8,116.0
5.415548,2015-03-27,2015-03-27,Any Day,5.1,10.0
1.787325,2015-02-06,2015-02-06,3 Nights in the Desert,4.4,20.0
6.184303,2015-01-29,2015-01-29,Robot Overlords,4.8,109.0
0.65691,2015-02-21,2015-02-21,Russell Madness,5.1,7.0
0.024568,2015-03-10,2015-03-10,The Millennials,0.0,0.0
4.743997,2015-03-06,2015-03-06,Bad Asses on the Bayou,5.8,34.0
0.61582,2016-01-12,2016-01-12,Silent Retreat,3.8,7.0
2.183423,2015-02-13,2015-02-13,The Lovers,4.8,34.0
